"","Education","MaritalStatus","HHIncome2"
"749","Some College","Married","75000-99999"
"750","High School","Married","45000-54999"
"751","Some College","Married","65000-74999"
"752","Some College","Married","65000-74999"
"753","9 - 11th Grade","Married","<20000"
"754","College Grad","Married","more 99999"
"755","Some College","Married","more 99999"
"756","Some College","Married","more 99999"
"757","College Grad","Divorced","75000-99999"
"758","Some College","Married","65000-74999"
"759","Some College","Married","65000-74999"
"760","Some College","Married","65000-74999"
"761","8th Grade","LivePartner","20000-24999"
"762","8th Grade","LivePartner","20000-24999"
"763","8th Grade","LivePartner","45000-54999"
"764","Some College","LivePartner","45000-54999"
"765","Some College","LivePartner","45000-54999"
"766","Some College","LivePartner","45000-54999"
"767","Some College","Married","35000-44999"
"768","Some College","NeverMarried","75000-99999"
"769","Some College","Married","75000-99999"
"770","9 - 11th Grade","Widowed","<20000"
"771","9 - 11th Grade","NeverMarried","more 99999"
"772","9 - 11th Grade","NeverMarried","more 99999"
"773","8th Grade","Married","35000-44999"
"774","8th Grade","Married","35000-44999"
"775","High School","LivePartner","55000-64999"
"776","High School","LivePartner","55000-64999"
"777","High School","LivePartner","55000-64999"
"778","Some College","Divorced","75000-99999"
"779","Some College","Married","55000-64999"
"780","High School","LivePartner","55000-64999"
"781","9 - 11th Grade","Married","45000-54999"
"782","High School","Married","75000-99999"
"783","Some College","Separated","45000-54999"
"784","Some College","Divorced","<20000"
"785","College Grad","Married","75000-99999"
"786","9 - 11th Grade","Married","<20000"
"787","9 - 11th Grade","Married","<20000"
"788","9 - 11th Grade","Married","<20000"
"789","College Grad","Married","more 99999"
"790","Some College","Married","more 99999"
"791","Some College","LivePartner","45000-54999"
"792","High School","Married","25000-34999"
"793","Some College","NeverMarried","65000-74999"
"794","Some College","NeverMarried","25000-34999"
"795","Some College","NeverMarried","25000-34999"
"796","Some College","Married","35000-44999"
"797","Some College","Married","55000-64999"
"798","High School","Married","45000-54999"
"799","College Grad","Divorced","25000-34999"
"800","College Grad","Married","more 99999"
"801","College Grad","Married","more 99999"
"802","College Grad","Married","more 99999"
"803","High School","NeverMarried","<20000"
"804","College Grad","Married","35000-44999"
"805","9 - 11th Grade","Married","20000-24999"
"806","High School","NeverMarried","<20000"
"807","High School","NeverMarried","<20000"
"808","Some College","Married","more 99999"
"809","College Grad","NeverMarried","65000-74999"
"810","College Grad","Divorced","55000-64999"
"811","College Grad","Divorced","55000-64999"
"812","College Grad","Divorced","55000-64999"
"813","Some College","Married","75000-99999"
"814","High School","Married","more 99999"
"815","High School","Married","more 99999"
"816","High School","Married","35000-44999"
"817","9 - 11th Grade","Married","25000-34999"
"818","Some College","Married","45000-54999"
"819","9 - 11th Grade","Married","<20000"
"820","9 - 11th Grade","Married","<20000"
"821","Some College","Married","75000-99999"
"822","9 - 11th Grade","Married","75000-99999"
"823","9 - 11th Grade","Married","75000-99999"
"824","Some College","NeverMarried","<20000"
"825","High School","Married","more 99999"
"826","High School","Married","more 99999"
"827","Some College","NeverMarried","25000-34999"
"828","College Grad","Married","more 99999"
"829","College Grad","Married","more 99999"
"830","College Grad","Married","more 99999"
"831","College Grad","Married","more 99999"
"832","College Grad","Married","more 99999"
"833","High School","Married","65000-74999"
"834","High School","Married","65000-74999"
"835","High School","Married","65000-74999"
"836","High School","Married","65000-74999"
"837","College Grad","Married","more 99999"
"838","College Grad","Married","more 99999"
"839","College Grad","LivePartner","75000-99999"
"840","College Grad","NeverMarried","45000-54999"
"841","Some College","Married","65000-74999"
"842","Some College","Married","75000-99999"
"843","High School","Married","75000-99999"
"844","High School","Married","75000-99999"
"845","High School","Married","75000-99999"
"846","High School","Married","75000-99999"
"847","Some College","Married","<20000"
"848","8th Grade","NeverMarried","55000-64999"
"849","8th Grade","NeverMarried","55000-64999"
"850","8th Grade","NeverMarried","55000-64999"
"851","9 - 11th Grade","LivePartner","45000-54999"
"852","Some College","Married","65000-74999"
"853","Some College","Married","65000-74999"
"854","College Grad","NeverMarried","55000-64999"
"855","High School","NeverMarried","75000-99999"
"856","8th Grade","Married","45000-54999"
"857","Some College","Divorced","25000-34999"
"858","College Grad","Married","35000-44999"
"859","Some College","Married","65000-74999"
"860","Some College","Married","65000-74999"
"861","High School","NeverMarried","<20000"
"862","Some College","Married","75000-99999"
"863","High School","LivePartner","75000-99999"
"864","College Grad","Married","more 99999"
"865","College Grad","Married","more 99999"
"866","College Grad","Married","more 99999"
"867","9 - 11th Grade","NeverMarried","20000-24999"
"868","College Grad","Married","75000-99999"
"869","Some College","NeverMarried","more 99999"
"870","High School","Married","35000-44999"
"871","High School","Married","35000-44999"
"872","Some College","Married","20000-24999"
"873","Some College","Separated","20000-24999"
"874","Some College","Divorced","more 99999"
"875","Some College","NeverMarried","<20000"
"876","Some College","NeverMarried","<20000"
"877","Some College","NeverMarried","<20000"
"878","Some College","Divorced","<20000"
"879","Some College","NeverMarried","75000-99999"
"880","High School","LivePartner","20000-24999"
"881","High School","LivePartner","20000-24999"
"882","High School","LivePartner","20000-24999"
"883","High School","LivePartner","20000-24999"
"884","9 - 11th Grade","Married","55000-64999"
"885","College Grad","Married","75000-99999"
"886","8th Grade","Married","<20000"
"887","College Grad","Married","more 99999"
"888","College Grad","Married","more 99999"
"889","8th Grade","Married","35000-44999"
"890","College Grad","Married","more 99999"
"891","High School","Widowed","<20000"
"892","Some College","Divorced","<20000"
"893","High School","Divorced","<20000"
"894","Some College","Married","more 99999"
"895","Some College","Married","more 99999"
"896","Some College","Married","more 99999"
"897","High School","LivePartner","25000-34999"
"898","Some College","Divorced","more 99999"
"899","9 - 11th Grade","LivePartner","25000-34999"
"900","9 - 11th Grade","LivePartner","25000-34999"
"901","9 - 11th Grade","LivePartner","25000-34999"
"902","8th Grade","Married","20000-24999"
"903","9 - 11th Grade","Divorced","65000-74999"
"904","High School","NeverMarried","45000-54999"
"905","Some College","NeverMarried","<20000"
"906","Some College","NeverMarried","<20000"
"907","9 - 11th Grade","Married","75000-99999"
"908","9 - 11th Grade","Married","75000-99999"
"909","High School","LivePartner","55000-64999"
"910","High School","LivePartner","55000-64999"
"911","Some College","Married","65000-74999"
"912","Some College","Married","65000-74999"
"913","Some College","NeverMarried","35000-44999"
"914","Some College","NeverMarried","35000-44999"
"915","Some College","Married","<20000"
"916","College Grad","NeverMarried","<20000"
"917","Some College","NeverMarried","25000-34999"
"918","High School","Married","35000-44999"
"919","8th Grade","Married","20000-24999"
"920","8th Grade","Married","20000-24999"
"921","Some College","Married","35000-44999"
"922","Some College","Married","35000-44999"
"923","High School","Married","45000-54999"
"924","High School","Married","45000-54999"
"925","High School","Married","45000-54999"
"926","9 - 11th Grade","Married","<20000"
"927","High School","Married","more 99999"
"928","High School","Married","more 99999"
"929","8th Grade","Married","25000-34999"
"930","8th Grade","Married","25000-34999"
"931","High School","LivePartner","<20000"
"932","9 - 11th Grade","LivePartner","75000-99999"
"933","Some College","Married","35000-44999"
"934","Some College","Married","35000-44999"
"935","High School","Married","65000-74999"
"936","Some College","Married","45000-54999"
"937","High School","Married","45000-54999"
"938","College Grad","Married","75000-99999"
"939","College Grad","Married","20000-24999"
"940","8th Grade","Married","25000-34999"
"941","8th Grade","Married","25000-34999"
"942","Some College","Divorced","<20000"
"943","Some College","Divorced","<20000"
"944","Some College","NeverMarried","more 99999"
"945","Some College","NeverMarried","more 99999"
"946","Some College","NeverMarried","more 99999"
"947","9 - 11th Grade","NeverMarried","20000-24999"
"948","Some College","Divorced","25000-34999"
"949","Some College","Married","75000-99999"
"950","College Grad","Divorced","35000-44999"
"951","9 - 11th Grade","Married","<20000"
"952","9 - 11th Grade","Married","<20000"
"953","College Grad","Married","more 99999"
"954","College Grad","Married","more 99999"
"955","9 - 11th Grade","NeverMarried","<20000"
"956","Some College","Married","more 99999"
"957","Some College","LivePartner","<20000"
"958","Some College","Married","45000-54999"
"959","Some College","LivePartner","55000-64999"
"960","Some College","Married","25000-34999"
"961","9 - 11th Grade","Married","65000-74999"
"962","Some College","Married","<20000"
"963","Some College","NeverMarried","20000-24999"
"964","Some College","NeverMarried","<20000"
"965","College Grad","Married","55000-64999"
"966","College Grad","Married","75000-99999"
"967","High School","Married","more 99999"
"968","High School","Married","more 99999"
"969","High School","Married","35000-44999"
"970","Some College","Married","75000-99999"
"971","Some College","Married","75000-99999"
"972","9 - 11th Grade","Married","45000-54999"
"973","High School","NeverMarried","25000-34999"
"974","College Grad","Married","55000-64999"
"975","College Grad","Married","55000-64999"
"976","College Grad","Married","65000-74999"
"977","College Grad","Married","more 99999"
"978","College Grad","Married","more 99999"
"979","Some College","Married","more 99999"
"980","Some College","Married","more 99999"
"981","8th Grade","Married","20000-24999"
"982","College Grad","NeverMarried","25000-34999"
"983","College Grad","Married","75000-99999"
"984","College Grad","Married","<20000"
"985","9 - 11th Grade","Divorced","55000-64999"
"986","9 - 11th Grade","Divorced","55000-64999"
"987","8th Grade","Married","more 99999"
"988","9 - 11th Grade","Divorced","55000-64999"
"989","9 - 11th Grade","NeverMarried","25000-34999"
"990","Some College","Divorced","25000-34999"
"991","College Grad","Married","more 99999"
"992","College Grad","Married","more 99999"
"993","High School","LivePartner","<20000"
"994","Some College","Married","75000-99999"
"995","9 - 11th Grade","Married","20000-24999"
"996","College Grad","Married","75000-99999"
"997","College Grad","NeverMarried","35000-44999"
"998","8th Grade","Widowed","<20000"
"999","High School","NeverMarried","<20000"
"1000","College Grad","Married","35000-44999"
